@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 9\nSize of the tree: 17\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ABD,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.02,0,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ACD,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.012,0.001,0.01,0,10,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.011,0.001,0.01,0,10,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.009,0,0.02,0,20,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.008,0.001,0.02,0,20,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.012,0.001,0.02,0,20,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.012,0,0.01,0,10,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.008,0,0.01,0,10,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.005,0.001,0,0,0,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
ACD,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,429,429,422,7,0,98.368298,1.631702,0,0.965412,0.031177,0.124854,6.584451,25.663518,412.370878,47.114644,365.256235,0.961237,0.109824,0.851413,388.447192,0.905471,40395.9735,0.992424,262,0.030303,5,0.969697,160,0.007576,2,0.981273,0.992424,0.986817,0.965518,0.984734,0.982022,0.983683,0.021562,0.978438,0.016317,0.983728,0.983683,0.983654,0.965518,0.984734,0.98,0.982705,0.983683,0.005,0.001,0.01,0,10,0,7342,121573,121573,98.601399,50.582751,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
