@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ABD,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0.001,0.008,0,0,0,0,123283,120742,42357,90.20979,50,?
ACD,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0.001,0.008,0,0.01,0,10,124114,121573,41526,90.714286,50,?
ACD,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0.001,0.011,0,0.02,0,20,124114,121573,41526,90.714286,50,?
ACD,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.014,0,0.02,0,20,124114,121573,41526,90.714286,50,?
ACD,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.014,0,0.02,0,20,124114,121573,41526,90.714286,50,?
ACD,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.012,0,0.02,0,20,124114,121573,41526,90.714286,50,?
ACD,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.008,0,0.01,0,10,124114,121573,41526,90.714286,50,?
ACD,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.008,0,0.01,0,10,124114,121573,41526,90.714286,50,?
ACD,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.009,0,0.01,0,10,124114,121573,41526,90.714286,50,?
ACD,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,429,140,127,13,0,90.714286,9.285714,0,0.78847,0.094746,0.304026,20.496182,64.029657,129.9534,114.195676,15.757724,0.928239,0.815683,0.112555,102.55476,0.732534,10665.025929,0.946237,88,0.170213,8,0.829787,39,0.053763,5,0.916667,0.946237,0.931217,0.789412,0.888012,0.903098,0.907143,0.131119,0.868881,0.092857,0.906494,0.907143,0.906349,0.789412,0.888012,0.866014,0.89418,0.907143,0,0.009,0,0,0,0,124114,121573,41526,90.714286,50,?
